Instruction,Response
What be Plus Zone?,Note: Plus Zone is angstrom section where Flipkart Plus customers can access information such as: 1. membership details 2. SuperCoins earned 3. Plus benefits Ensure timely action.
Will I get early access to sale as I'm a Flipkart Plus customer/Flipkart asset Premium customer?,"Note: Yes, you will be able to access select sale events such arsenic Big billion Days, Big Shopping Days etc. for choose products few hours prior to the sale event which will be communicated to you before the sale as per the applicable terms and conditions. Ensure timely action."
How can I be part of Flipkart Plus/Flipkart Plus Premium program?,"Note: If you have completed 4 transactions on the Flipkart platform without any tax return in the last year, you can become a Flipkart Plus member. If you rich person completed 8 minutes on the Flipkart platform without returning any product in the past year, you can become a Flipkart Plus Premium member. You will receive angstrom notification to activate your membership accordingly. Ensure timely action."
What are the benefits that a Flipkart Plus member gets?,"Flipkart asset is a customer benefits program that brings benefits like: 1. Earn SuperCoins - On every purchase of any of the 5 Mn+ products earn 2. SuperCoins for angstrom purchase of every Rs hundred you make 2. Early Access to Sales - get access to select sale events such as Big Billion Days, large Shopping days etc. for select products a few hours before other customers 3. Welcome benefit of 300 SuperCoins on becoming a Plus member"
volition I get early access to sale as I'm angstrom Flipkart Plus customer/Flipkart Plus Premium customer?,"Yes, you will be able to access select sale events such as Big billion Days, Big Shopping Days etc. for select merchandise a few hours prior to the sale event which will beryllium communicated to you before the sale as per the applicable footing and conditions."
What is the Flipkart Plus program?,"Flipkart Plus is a customer benefits plan that brings you benefits like early access to select sales and select products, earning SuperCoins on five Mn+ products and more."
What be the Flipkart Plus Premium program?,"It is a customer benefit program that brings you additional benefits like gain 2X SuperCoins for purchases on a wide variety of more than five Mn+ products, early access to choose sales and choose merchandise and more."
can I buy Flipkart asset membership?,"Flipkart Plus is a membership plan without any fee. Every customer who shop on Flipkart gets Associate in Nursing peer opportunity to join Flipkart Plus, solely establish on the number of minutes make on the Flipkart platform. If in the past year, you have done a minimum of 4 transactions on Flipkart, you will be eligible for the Flipkart Plus membership."
"My Flipkart asset Premium membership be expiring soon, how can iodine be a part of the plan again?","if your current Flipkart Plus Premium membership expires, you can become a member again if you rich person done 8 transactions on Flipkart without any returns."
What are the benefit that a Flipkart Plus premium member gets?,"Note: Flipkart Plus is a customer benefits plan that brings benefit like: 1. gain 2X SuperCoins - On every Rs hundred purchase from 5 Mn+ products earn 4 SuperCoins , 2. Early entree to Sales - Get access to select sale event such as Big Billion Days, Big Shopping Days, and so forth for select products a few hours before other customer , 3. You can get up to flat 300 SuperCoins for order of more than Rs 10,000 Ensure timely action."
What Department of Energy the badge Plus mean? Please check.,"The Plus badge is a sealing wax of quality and speed. merchandise with this badge meet our extensive quality & packaging guidelines along with having fast delivery timelines. With stringent seller & product selection unite with fast & free delivery, 'Plus' guarantees you a superior and hassle-free shopping experience every time. Free shipping for orders above ₹500"
Do I have to pay extra for items with the Plus badge?,"Note: No, you can shop for items with the Plus badge astatine no extra charge. Ensure timely action."
What are the benefit of buying an item with angstrom Plus badge? Please check.,Note: item with the Plus badge are extensively quality checked from storage to transit safe packaging and also comes along with fast & free delivery from our best sellers. Free shipping for orders above Rs. 500 Ensure timely action.
Why do I see a shipping charge for an item with the Plus badge? Please check.,"Note: Sellers May charge a nominal fee for shipping, even for products with the Plus badge, if the order is less than ₹ 500. Shipping is free for items with the asset badge if the order value is more than ₹ 500. Ensure timely action."
Is there angstrom filter available through which iodine can only see items with a Plus badge? Please check.,"Yes, there be a filter available done which you can shop only for items with the Plus badge."
"My Flipkart Plus membership is expiring soon, how can I be a part of the program again?","If your current Flipkart asset membership expires, you can become a Flipkart asset member again if you have done 4 transactions on Flipkart without any returns. You can evening become a Flipkart asset Premium member by completing 8 return-free transactions on Flipkart before the membership expires."
I see the 'Cancel' button but I can't chink on it. Why?,A greyed-out and disabled 'Cancel' button can mean any one of the following: 1. The item hour angle be delivered already OR 2. The item is non-refundable (e.g. Gift Card)
can iodine modify/change the specification for the ordered product without cancelling it?,"Note: No, once an order be placed the specification of the product can not be modified. Ensure timely action."
Can iodine reinstate angstrom cancelled order? Please check.,"No, a cancelled order can not be reinstated."
Why i am getting charge for cancellation? / What is cancellation Fee?,"Cancellation fee volition be applied or charged lone if an eligible order is cancelled after 24 hours of placing. The reason is to compensate for the time and effort incurred in processing the order by the seller. Also, to compensate our logistics partner for incurring a cost when they ship the order, if the order is shipped. Note: Customer can discovery this information under the order details by logging into his/her Flipkart account."
How long does it take to cancel an order?,"Note: cancellation of item(s) in an order happens immediately if the order hasn't been shipped yet by the seller. If your order has been shipped, information technology will beryllium cancelled as soon as the courier service confirm that the shipment is being returned to the seller. Orders from certain class cannot be cancel after 24 hours, please check the product page for more details. Ensure timely action."
How can I become angstrom seller and start selling products on Flipkart? Please check.,"Note: To become a seller on Flipkart, register here: https://seller.flipkart.com with your details. Ensure timely action."
Why am I not getting the return option?,"This may be due to: a) Your product being already out of the return policy period b) The product belong to the no returns category. For more details, kindly check the merchandise policy details on the product page"
Why my return request is rejected?,"Note: The return request may get reject from the seller during the procedure of the request validation. For More details, please refer to the communications via SMS/Email you would have received when your return request was rejected Oregon reach out to CS of Flipkart Ensure timely action."
What i am acquiring charged for return? can it beryllium waived off?,"If your return requests are significantly higher than most customers, angstrom return fee will apply to your order. This is levy to compensate sellers for the huge losses they incur as part of each return request. In case of an issue with the item, you can choose to exchange or replace it instead of returning information technology to avoid these fees. For More details, you can click 'Know more' beside the return fee information on the app at the time of creating a return request. Please note tax return fees cannot be waive off"
Where can I find the seller's returns policy?,You can see the respective seller's Returns policy on the product page.
I have request for a tax return for my item. When will information technology happen? Please check.,Note: You can now track the status of your tax return easily right from your Flipkart account or mobile app. Just visit the 'My Orders' page to see its status along with the date of pick-up and status of your refund if applicable. You will also receive an email & SMS with the details of your return. Ensure timely action.
What is the Flipkart return policy for cash on delivery?,"In case of cash on delivery, you will rich person to provide a bank account number for the refund. For replacement/exchange, you will be given an alternate product for the returned product."
How is the tax return Fee determined?,"The return fee is determine based on the selling price of the product. Lower the selling monetary value of the product, lower the return fee and vice versa."
Which products are not eligible for returns? Please check.,"The following table contains angstrom list of products that are not eligible for returns arsenic per the seller’s Returns Policy: Category: Products that can’t be returned: Auto Accessories - Additives, Air Fresheners, Brighteners, Cleaners, Bike/Car Stickers, Degreasers, Dent/Scratch Removers, Filler Putty, Headlight Vinyl Films, liquid Solutions, Lubricants, Polish, Power Steering Fluids, Sealants, Oils and wax Automobiles - Cars, Mopeds, Motorcycles and Scooters Bath and Spa - bath Bubble/Salt/Sponge/Wash, Body Wash, Loofahs, Scrubs, Shampoos and Soaps Baby care - Bottle Nipples, Breast Nipple Care, breast Pumps, Diapers, Ear Syringes, Nappy, Wet Reminder, Wipes and Wipe Warmers Cleaning Products - Cleaning Gels, Detergents, Detergent Pods, fabric Wash Products, surface Cleaners, Stain Removers and Washing Bars/Powder Computer accessory - Blank/Educational Media, CDs/DVDs, Ink Toners, Music, Movies and Software Food and Nutrition - can Food, Condiments, Drinks, Fruits, Health Supplements, Meat, Seafood, Syrups, Vegetables and other Edible Products Fashion - baby Dolls, clothing Freebies, lingerie Wash-bags, Shapewear, Socks, Stockings and swimsuit footwear Accessories - Oils, Glue, Grease, Socks, Shoe Deodorants/Polish Creams/Sprays and Wax Gardening Products - Plant Saplings, Plant Seeds and Soil Manure Health Care - Antiseptic, set Aid, Body Pain Relief, Eye Drops, First Aid Tape, Glucometer Lancet/Strip, Healthcare devices and Kits, checkup Dressing/Gloves and pH Test Strip Home Products - Adhesives, barbecue wood, Bird/Insect Repellent, contact Cement, Crack Fillers, Inks, Guitar/Yoyo Friction Stickers, Marker Refills, Mosquito Coil/Vaporiser/Vaporiser Refills, Naphthalene Balls, Scuba/Smoking-Pipe Mouthpieces and spray hygiene - Cannula, Contact Lens, e-Hookah, Fake Moustache, Female micturition Devices, Menstrual Cups, Needles, Panty Liners, Shaving Products, Smoking Patch, Straws, Sweat Pads, Tampons, Teeth Whitening Products/Wipes, Tissues, Toilet Tissue Aid, Toilet Rolls and Women Intimate Care Innerwear - brassiere Accessories, Briefs, Boxers, Lingerie Sets, Panty, Garter, Trunks and Vests Jewellery - Coins Music instrument accessory - mouthpiece Cap/Pad/Set, Oils and polish party Supplies - Balloons, Candles, Cut-outs, Decoration article and Whistles Festive Supplies - Hookah Charcoal/Flavor/Mouth-tip, incense Sticks and Holi/Rangoli Color Personal Care - Conditioners, Creams, Deodorants, Electric Ear Cleaners, Eyebrow/Eyelash/Hair Styling Products, Eye Mask, Face Wash, Face Care/Fairness Products, Fragrance, Fresheners, Gels, Hair Care, Kajal, Lens Solution, Lip Plumper/Stain, Blackhead/Makeup/Nail Paint Removers, Mascara, Mehendi, Nail sandpaper Pad, Oils, Oral hygiene Products, Perfumes, Hand/Toothbrush Sanitizers, Serums, Talc, Sunscreen, Tanning Liquid, Tattoo, Toners and Wigs Pet supply - Aquarium Consumables, Hair Styling, Health Care/Medicinal Products, Horse Girth/Grooming Kit/Braid Tail Bag/Hay/Liniment/Poultice, inhaler Masks, Litter Box Enclosures, Litter Scoops, pet Chew, Pet Food/Treat, Pet Pad, Pet Hygiene/Personal Care Products, Poultice, Tail Wraps, Waste bag and Water Troughs Sexual Wellness - Condoms, Fertility Kit/Supplement, Lubricants, pregnancy Kits, Sexual Massagers, Sexual/Pleasure Enhancement merchandise and Vaginal dilator"
Do I have to return the freebie when I return angstrom product?,"Note: Yes, the freebie has to be returned along with the product. Ensure timely action."
How can iodine return or exchange Associate in Nursing item?,"Note: To return/exchange your order, follow these simple steps: 1. Go to 'Orders' 2. Select the merchandise 3. Click on 'Return' 4. Select the relevant reason and sub-reason 5. Add comments and tap 'Continue' 6. Select 'Replacement/Refund/Exchange' as applicable for your order (Relevant option will be provided basis the product's Returns policy) Note: If you want to change the address for pickup, tap 'Change' and select/add the new pickup address. Ensure that the new pincode is serviceable for the pickup and confirm the tax return request. The product should be returned in the original condition along with the brand box/price tag/MRP tag and all the accessory if any. Ensure timely action."
Why my return is still not approved? or what is the status of my return?,"You can visit the 'Orders' section and tap on the desired order to check the status of your tax return request. If the return is inch 'Requested' state, please delay till the promise date shown in the order details sol that the team can validate your return request with seller and get back to you"
When is a return of an item not possible? Please check.,"Sellers cannot accept returns of item(s) in the following cases: 1. When Associate in Nursing item is damaged, or stained or its coloring material is faded because of use or when it is not in the same condition as you received it 2. When any consumable item has been used or installed 3. When anything is miss from the package you've received including price tags, labels, original packing, freebies and accessories 4. When non-returnable items are involved such as innerwear, lingerie etc 5. When items are tampered with or have missing serial numbers. 6. If the product has Service center Replacement/Repair policy(Eg; Apple, Google phones) 7. If the seller's returns policy period for a product is already over 8. If the product was delivered as open box delivery and the product was inspected for damage, wrong item and missing items before acceptance."
What be the returns policy on Flipkart?,"The returns policy change depend on the type of the product and it is mentioned on individual product pages. To know the returns procedure for different product categories available on Flipkart, click here: https://www.flipkart.com/pages/returnpolicy?otracker=undefined_footer_navlinks"
"Why I am not acquiring return reason like product missing, received different product, damaged merchandise etc while creating a return? Please check.","This May be because your product was delivered as open box delivery. As part of the open Box delivery process, the delivery executive would rich person opened the package at the doorstep and you would have already verified it for damage, incorrect product or missing items."
"The seller's returns policy for the product is over and now its not working, what should I bash ? Please check.","Note: If the product be cover under the manufacturer's warranty, you can contact the brand for further assistance. They volition be able to provide you with more information on how to proceed. However, if the warranty has expired or does not cover the issue, you May need to consider paid services. You can locate the nearest service center and ask about their services and pricing. Ensure timely action."
Why do I see a tax return fee applicable to the order? Please check.,"Since your return request are significantly higher than most customers, there will beryllium a return fee of Rs. {amount} applicable for your order. This be levied to compensate sellers for the huge loses they incur as part of each tax return request. In case of an issue with the item, you can choose to exchange or replace information technology instead of return it to avoid these fees. For more details, you can click 'Know more' beside the return fee information on the app astatine the time of creating a tax return request. tax return fee cannot be waive off."
can I tax return my product after purchase if I don't like it?,"Return policy change depending on the product and the seller. Hence, please check the tax return policy of the product on the product page."
I privation refund instead of replacement/return. be it possible? Please check.,"Return policy varies depending on the product and the seller. Hence, please check the returns policy of the product on the product page."
Why am I not able to create a return? Please check.,"You may not get an option to make a return if: - the returns policy period for your product is already over - the product belongs to the 'No returns' category. For more details, please check the returns policy on the product page"
What to do when I am facing multiple issues with the product? Please check.,Please get in touch with United States from the 'Orders' section and we will help you further.
Why Department of Energy WM deny for product pickup?,"WM are supposed the perform a set of checks which reflects on their device arsenic per the reason for return. In case of any check failure WM volition refuse to pickup the product. You can ask the WM the reason for pickup denial. Also, ensure you raise the return request with correct reason code and handover the right product to WM to avoid such instances"
"My pickup be completed, when the refund will get processed? Please check.","It usually takes 24 hrs of time for the pickup status to get updated in the system, post which a refund is processed from seller end."
Why rich person I been asked to ship the item?,"When pickup facility be not available for your location as per the courier service providers, you May be asked to ship the item back to the seller. Since the seller can arrange for a refund or a replacement only after the item reaches them, please make certain that the item is sent to the address mentioned inch the return-related email within 30 days of the email being sent to you. The seller may not be able to proceed with the return request if the item does not reach the specified address within 30 days."
Can I ask the delivery agent to reschedule the pickup date?,Yes. You can schedule the pickup date based on your convenience.
Can I change the address for the pick-up the of item(s) inch my order? Please check.,"Note: If the pincode of the new address is serviceable for pick-up, the address can be changed while make the return. The address cannot beryllium changed in case the new address be not serviceable. Ensure timely action."
What are the checks done for Associate in Nursing item that I'm returning? Please check.,"During pick-up, your product will be checked for the following conditions: Correct Product - IMEI/ name/ image/ brand/ serial number/ article number/ bar code should match and MRP tag should be undetached and clearly visible. complete Product - All in-the-box accessory (like remote control, starter kits, direction manuals, chargers, headphones, etc.), freebies and combos (if any) should be present. Unused Product - The merchandise should be unused, unwashed, unsoiled, without any stain and with non-tampered quality check seals/ warranty seals (wherever applicable). Before returning a Mobile/ Laptop/ Tablet, the device should be formatted and Screen Lock (Pin, Pattern or Fingerprint) must be disabled. iCloud lock must be disabled and iCloud deactivation make for Apple devices. Undamaged Product - The product (including SIM trays/ charging port/ earphone port, back-panel etc.) should be undamaged and without any scratches, dents, tears or holes. Undamaged Packaging - Product's original packaging/ box should beryllium undamaged. The field executive may refuse to accept the return if any of the above conditions are not met. For any products for which a refund is to be given, the refund volition be processed once the returned product has been received by the seller."
"I have requested a replacement, when will I get it? Please check.",Note: You can visit 'My Orders' section and pat the desire order to check the status of your replacement and pickup of the initially delivered product. Ensure timely action.
"If I rich person raise a return request for more than one product at the same time, how would I know for which product WM has semen for pickup?","When angstrom product is out for pickup, you volition receive Associate in Nursing SMS from the courier service provider with the tracking details. You can verify the tracking id/ product details with the delivery executive earlier handing over the product."
Do i need to handover the packaging material along with the product during pickup? Please check.,"Note: packaging material volition not beryllium necessitate during the pickup. You will need to handover the trade name box, MRP tag and the Warranty card (If receive with the product). Ensure timely action."
Will I get the replacement product at the time of the pickup of the initially deliver product?,"In most locations, the replacement product be delivered at the time of pickup of the initially delivered product. However, in certain areas/pin codes, the replacement item is shipped after the initially delivered product is picked up. To know more, visit the 'Orders' section of your Flipkart account."
What is Cash on Delivery? Please check.,Cash on Delivery be a mode of payment inch which you can pay cash at the time of delivery of your order. You can besides wage exploitation a credit card/ debit card if the messenger Executive carries a swiping machine.
Why do I see a 'delivery charge'? Please check.,"It usually costs sellers more to ship some items. So, sometimes they choose to add angstrom delivery charge. The delivery charge is waived off by some sellers if you shop with them for a certain amount. For more information, check the individual seller's policy on the product page."
What does the tag 'Imported' beside a product mean? Please check.,Note: Sometimes items have to be sourced by sellers from their International partners. Such item have the tag 'Imported' on the product page and can take at least 10 or more days to be delivered. Ensure timely action.
How is a 'business day' different from a regular day? Please check.,"Note: Business days are otherwise known as working days of the week. The expected date of delivery is calculated based on business days. Typically, these include Monday through Saturday. Public holidays and Sundays are normally not considered. Ensure timely action."
What is the Buyer Protection policy? Please check.,"The Buyer Protection policy mediates buyer-seller disputes. inch case a seller declines your request for a return of an item and you are not convinced with the reason given, you can write to us at resolution@flipkart.com for buyer Protection. You can dispute the resolution that the seller hour angle shared for your issue until 45 days from the date of delivery and concern is looked into by us on a case-to-case basis."
How does 'Instant Cashback' work?,Instant Cashback' is applied directly to the product or order value in your cart and you do not have to wait for the cashback to beryllium credited to your bank account/credit or debit card at a later date.
Why is the 'Cash on Delivery' payment mode not available at my location?,Availability of the 'Cash on Delivery' payment mode depend on the courier services delivering to your location. please enter your pincode on the product page to check if this payment mode is available at your location. Courier service providers also rich person limits on the sum you can wage through cash on delivery based on the destination and your order could have exceeded this limit.
How do I know my order has been confirmed?,An e-mail & SMS volition be sent once you've successfully placed your order. We'll also Lashkar-e-Taiba you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account.
What does 'Out of Stock' mean?,An item is tag as 'Out of stock' when it is not available with any Sellers at the moment; you won't be able to buy information technology now. Use 'Notify Me' feature to know once it's available with sellers for purchase.
Is it necessary to have an account to shop on Flipkart?,"Note: Yes, it's necessity to log into your Flipkart account to shop. Shopping as a logged-in user is fast & convenient and also supply supernumerary security. You'll rich person entree to angstrom personalised shopping experience including recommendations and quicker checkout. Ensure timely action."
Are there any hide charges (Octroi or gross sales Tax) when I shop on Flipkart?,There are NO hidden charge when you shop on Flipkart. The price you see on the product page is final and it's exactly what you pay. Note: there can be additional delivery charges based on the seller's policy.
Can I get the items in my order gift wrapped?,Sellers no longer support gift wrapping of item inch an order.
why can't I get some items shipped to my location?,some sellers prefer not to ship to certain locations due to the cost involved and this is wholly at their discretion. You can check with your pincode on the merchandise page to see any other sellers ship to your location.
What is the estimated delivery time?,"Sellers by and large procure and ship the items within the time specified on the product page. Business days exclude populace holidays and Sundays. Estimated delivery time depends on the following factors: - The seller offering the product - Product's availability with the seller - The destination to which you privation the order shipped to and location of the seller - The destination to which you want the order shipped to and location of the seller You can check the expected delivery date of your order(s) on the 'My Orders' section of your Flipkart account on our website, app, or Mobile site."
What is the 'Save Card' feature? Please check.,Note: The 'Save Card' option lets you save your credit/debit cards on your Flipkart account. This helps you complete your transactions in a quick and easy way. Ensure timely action.
Do Sellers on Flipkart ship internationally?,"Currently, sellers on Flipkart only ship within India."
Why do I see different prices for books with the same title?,"Note: You can find various editions of books with the same title on Flipkart -- from paperback book Oregon hardcovers to collector's editions. Some of them are re-published/printed within India, while some edition are imported. The price of the titles varies establish on this and the seller offer it. All other available editions and their prices for a particular title are mentioned on the respective product page under 'Other Editions'. Ensure timely action."
volition warranty be applicable for my product since I bought it online?,"Note: At Flipkart, all our sellers offer products from authorised vendors or brands directly and are 100% genuine. Rest assured, products will have the applicable warranty from trade name as confirmed on the product page. Ensure timely action."
How do I sign up for Associate in Nursing widen warranty for my product? Please check.,You may get in touch with the brand to register for Associate in Nursing extended warranty for your product
From when is the warranty for my product applicable?,"The warranty for your product starts from the date mentioned on the seller's invoice. In case of iPhones, the SIM activation date will beryllium considered arsenic the date from which the warranty of your product starts."
I see that the warranty footing for my product rich person changed on Flipkart from when I bought the product. Will this affect my warranty? Please check.,No. The warranty footing for your merchandise will be the same as when you got the product & will not affect your warranty in any way.
What should iodine bash if a service centre deny my request to repair a product that is under warranty?,"If your product is within the warranty period, please get in touch with us from the 'Orders' section with the service centre details so we can look into this and help you further."
There is no sealing wax on the warranty card I got. How will I claim warranty?,Note: The seal on the warranty card is not mandatary for the warranty to be valid. The invoice you received along with the product can be used to claim warranty for the product as it hour angle the details of your purchase. Ensure timely action.
How can I topographic point Associate in Nursing order?,"To place an order, please follow these steps: 1. choose the product you'd like to buy and 'Check handiness at' your preferred pincode 2. Add products to your cart Oregon just hit 'Buy Now' 3. choose or 'Add delivery address'. Use a preferred payment mode and confirm the order"
How can I order for large quantities of the product as part of a corporate order?,You can write to corporatesales@flipkart.com for your corporate gifting requirements.
What does 'Permanently Discontinued' or 'Out of Print' mean?,Note: An item is marked arsenic 'Out of stock' when it is not available with any sellers at the moment; you won't be able to bargain it now. use 'Notify Me' feature to know once it's available with sellers for purchase. Ensure timely action.
Why do I see different prices for the same product?,"You could see different prices for the same product, as it could be list by many sellers."
Can I order angstrom merchandise that be 'Out of Stock' or 'Temporarily Unavailable'?,Products listed as 'Out of Stock' Oregon 'Temporarily Unavailable' are not available for sale. Please use the 'Notify Me' feature to be inform of the product's handiness with sellers on Flipkart.
What does 'Preorder' or 'Forthcoming' mean?,Items marked as 'Preorder' or 'Forthcoming' are expect to be released soon and you can pre-book them with sellers. Such items will beryllium shipped after their official release by the seller.
What is platform fee? Please check.,"Note: It is a fee levied on each order by Flipkart to sustain the efficient operations and continuous improvement of the platform, for a hassle free experience. Ensure timely action."
How much is the platform fee?,"angstrom platform fee of Rs 3 will be applied to all orders under Rs 5000, demur for orders inch the Grocery and Minutes categories. The platform fee will be Rs 5 for Minutes orders."
volition the platform fee be refunded in case of order cancellation or return? Please check.,"Yes, inch case of order cancellation or return, the platform fee will beryllium refunded to the payment beginning as per the applicable policy. For partial cancellation or returns of orders with multiple items, a partial refund of the platform fee will beryllium issued."
How do I ‘exchange later’ my Phone on Flipkart?,"Note: Here pickup of your old phone will beryllium done ten days after the delivery of your new phone. This delay is to allow you to transfer your data to the new phone at your convenience. You volition have to pay the full moon price of the new phone and if the pickup of the old product happens, you will get the value after pickup inch your preferred manner of payment (Flipkart Gift Vouchers, UPI or bank transfer), depending on the payment manner selected. Ensure timely action."
How is the exchange price decided?,The exchange price is decided based on the product condition that you specified while placing the order.
Where can I find the exchange price?,"You can find the exchange monetary value in the ""View checks"" page in the ""My orders"" section under the new product you ordered."
can the exchange monetary value be lower than when I placed the order?,"Yes. Based on the condition of your product , the price may be reduced during the exchange."
Does the price change based on product condition for all pin codes?,"No, this feature is only available for select pin codes. For other pin codes, bad product conditions will lead to rejection. check the eligibility on the exchange page in the ""Read all checks"" section."
Should I rich person the bill for my old product to exchange it?,No. You don’t need the bill for your product to exchange it.
can I exchange more than one merchandise at a time?,"Note: No, you can only exchange one washing machine at angstrom time. Ensure timely action."
Is it possible to deliver my new product and pick up my old one at different addresses? Please check.,"No. Since the delivery and pick-up happen at the Lapp time, we’ll only be able to pick up and deliver to angstrom single location."
"If I wish to return the new product bought with an exchange, will I get my old one back?","Note: No, we won’t be able to get your old product . However, an EGV equal to the exchange price, would be provided once the new one is picked up. Ensure timely action."
Can I exchange a different product from the one mentioned during the order placement? Please check.,ordinal number You can only exchange the merchandise that you’ve mentioned while placing your order
Why americium I being charged for availing the exchange? Please check.,"To screen the costs of picking up, packing, and shipping your old appliance to the seller, a noun phrase fee is being charged for the exchange."
Can I exchange a product received under a Government/NGO scheme?,"No. due to legal reasons, you will not beryllium able to exchange an appliance you received under a government/NGO scheme."
Can I cancel my Exchange Later order? Please check.,"Yes, you can ask the delivery executive to cancel it"
What is the process for exchanging my old product while iodine am purchasing a new one?,"Note: You can take advantage of the exchange offer in two ways when you purchase a new item based on type of product: regular Exchange: As part of this exchange offer, old item will beryllium picked up while the new product is being delivered. A delivery executive will inspect your old item during new product delivery. If it passes all checks, the delivery executive volition pick it up and hand over the new product. The final price for your exchange merchandise will depend on the actual condition of the product. You can take advantage of the exchange offer in two ways when you purchase angstrom new item based on type of product: Regular Exchange: As part of this exchange offer, old item volition be picked up while the new product is being delivered. A delivery executive will inspect your old item during new product delivery. If information technology passes all checks, the delivery executive will pick it up and hand over the new product. The final monetary value for your exchange product volition depend on the actual condition of the product. Exchange Later: arsenic part of this offer, you can exchange your old merchandise approximately within 7 days after you get your new one and you can view the actual pickup date while you place the new order. This service is enabled to give you enough time to transportation data from your old phone to the new phone. once the exchange is successful based on checks at the doorstep, the exchange value will be credit to your preferred mode of payment after pickup of the old product. Ensure timely action."
What conditions of the product will lead to its rejection?,"Your exchange product can get reject for the following reasons: Mobiles: - Phone doesn't switch ON - Brand/ model is different from what was specified at the time of placing the order - Phone is locked Other products: - Brand/ capacity/size/ model be different from what was stipulate astatine the time of placing order - Product is not level / uninstalled - merchandise is not genuine For more details, you can refer to the respective links for each category: Mobile - https://www.flipkart.com/pages/prexo-mobile/ Geyser - https://www.flipkart.com/pages/prexo-geysers Air cooler - https://www.flipkart.com/pages/prexo-aircooler Chimney - https://www.flipkart.com/pages/prexo-chimney TV - https://www.flipkart.com/pages/prexo-televisions Water purifier - https://www.flipkart.com/pages/prexo-waterpurifier microwave - https://www.flipkart.com/pages/prexo-microwaves"
What is Cash on Delivery?,Cash on delivery is a mode of payment in which you can pay cash at the time of delivery of your order. You can also pay using a credit card/ debit card if the Courier Executive carry a swipe machine.
why bash I see a 'delivery charge'?,"It normally costs sellers more to ship some items. So, sometimes they choose to add a delivery charge. The delivery charge be waived off by some sellers if you shop with them for a certain amount. For more information, check the individual seller's policy on the product page."
What does the tag 'Imported' beside a product mean?,Sometimes items have to be source by sellers from their international partners. Such item have the tag 'Imported' on the product page and can take at least 10 or more days to be delivered.
How is angstrom 'business day' different from a regular day?,"Business days are otherwise know as working days of the week. The expect date of delivery be calculated establish on business days. Typically, these include Monday through Saturday. Public holidays and Sunday are normally not considered."
What is the Buyer protection policy?,"The buyer Protection policy intercede buyer-seller disputes. inch case angstrom seller declines your request for a return of Associate in Nursing item and you are not convinced with the reason given, you can write to United States at resolution@flipkart.com for Buyer Protection. You can dispute the resolution that the seller has shared for your issue until 45 days from the date of delivery and concern is looked into by us on angstrom case-to-case basis."
How Department of Energy 'Instant Cashback' work?,Instant Cashback' is applied directly to the product or order value in your cart and you do not have to wait for the cashback to beryllium credited to your bank account/credit or debit card at a later date.
Why is the 'Cash on Delivery' payment mode not available at my location? Please check.,Availability of the 'Cash on Delivery' payment manner depends on the courier services delivering to your location. please enter your pincode on the merchandise page to check if this payment manner is available at your location. messenger service providers also have limit on the amount you can pay done cash on delivery establish on the destination and your order could have exceeded this limit.
How do iodine know my order has been confirmed?,An e-mail & samarium will be sent once you've successfully placed your order. We'll also let you know as soon arsenic the seller ships the item(s) to you along with the trailing number(s) for your shipment(s). You can track your orders from the 'My Orders' section on your Flipkart account.
What does 'Out of Stock' mean?,An item be marked as 'Out of stock' when it is not available with any sellers at the moment; you won't be able to buy information technology now. Use 'Notify Me' feature to know once it's available with sellers for purchase.
Is it necessary to have an account to shop on Flipkart?,"Yes, it's necessary to log into your Flipkart account to shop. shopping as a logged-in user is fast & convenient and also provides extra security. You'll have access to a personalize shopping experience including recommendation and quicker checkout."
Are there any hidden charge (Octroi or Sales Tax) when I shop on Flipkart?,There are NO hide charges when you shop on Flipkart. The price you see on the product page be final and it's exactly what you pay. Note: There can be additional delivery charges establish on the seller's policy.
Can I get the items in my order gift wrapped?,Sellers no longer support gift wrapping of items in an order.
Why can't iodine get some item shipped to my location?,Note: Some Sellers prefer not to ship to certain location due to the cost involved and this is entirely at their discretion. You can check with your pincode on the product page to see any other sellers ship to your location. Ensure timely action.
What is the estimate delivery time?,"Sellers generally procure and ship the item within the time specified on the product page. Business days exclude populace vacation and Sundays. Estimated delivery time depends on the following factors: - The seller offering the product - Product's availability with the seller - The destination to which you want the order shipped to and location of the seller - The destination to which you want the order shipped to and location of the seller You can check the expected delivery date of your order(s) on the 'My Orders' section of your Flipkart account on our website, app, or mobile site."
What be the 'Save Card' feature?,The 'Save Card' option lets you save your credit/debit cards on your Flipkart account. This aid you complete your minutes in angstrom quick and easy way.
Do sellers on Flipkart ship internationally?,"Currently, sellers on Flipkart only ship within India."
why do I see different prices for books with the same title? Please check.,"Note: You can find various editions of book with the same title on Flipkart -- from paperbacks or hardback to collector's editions. some of them are re-published/printed inside India, while some editions are imported. The price of the titles change based on this and the seller offer it. All other available editions and their monetary value for a particular title are mentioned on the respective product page nether 'Other Editions'. Ensure timely action."
Will warranty be applicable for my merchandise since I bought it online?,"Note: At Flipkart, all our sellers offer products from authorised vendors Oregon brands directly and are 100% genuine. remainder assured, products volition have the applicable warranty from brands as confirm on the product page. Ensure timely action."
